sold_date|city|num_bed|year_built|askprice|longtitude|num_room|num_bath|living_area|data_code|address|latitude|property_type|num_parking|sellingprice
|Rosemont / La Petite Patrie|2| 2010|339000|-73.595018499999980000|5|1|86.86|562605|6358, rue Cartier|45.543004900000000000|Condo||
|Villeray / St-Michel / Parc-Extension|3||767000|-73.620186499999990000|8|2|187.91|562478|417-55, rue Molière|45.536353200000000000|Penthouse|2|
|Le Sud-Ouest|1| 2010|169000|-73.594872300000020000|3|1|39.76|546296|255-2323, rue le Caron|45.462185700000000000|Condo|1|
|Mercier / Hochelaga / Maisonneuve|2||359000|-73.512997100000000000||||564201|1834, rue de Beaurivage|45.590366800000000000|Duplex||
|Saint-Léonard|1| 2014|247500|-73.594071800000000000||1||563557|4755, boulevard Métropolitain E, unité 605|45.577053600000000000|Condo||
|Dollard-Des-Ormeaux|||399000|-73.828835299999980000||||432904|277, rue Fenwood|45.481173200000010000|Terrain résidentiel||
|Villeray / St-Michel / Parc-Extension|2| 2010|247000|-73.620825999999970000|4|1||562873|7-685, avenue Beaumont|45.526217300000000000|Condo||
|Villeray / St-Michel / Parc-Extension|2| 2012|292000|-73.636950000000010000|4|1|79.68|558442|124-8635, rue Lajeunesse|45.546286200000000000|Condo||
|Rivière des Prairies|3| 2009|475000|-73.595514499999980000|10|1|161.93|559295|11751, rue Maude-Abbott|45.626151700000000000|Jumelé||
|Saint-Laurent|2| 2011|295000|-73.734193699999990000|5|1|81.94|562591|202-6700, boulevard Henri-Bourassa Ouest|45.509918200000000000|Condo|1|
|Saint-Léonard|1| 2014|250000|-73.594071800000000000||1||562634|4755, boulevard Métropolitain E, suite 705|45.577053600000000000|Condo||
|Le Plateau-Mont-Royal|3| 1900|670000|-73.584144000000040000|7|1|130.06|564051|4848, rue Boyer|45.529298100000000000|Maison en rangée / de ville||
|L'Ile Des Soeurs|2| 2016|354000|-73.539798259735110000|4|1||555610|101, rue de la Rotonde, condo 904|45.474253788553746000|Condo|1|
|Le Plateau-Mont-Royal|6||1137000|-73.580526099999990000||4||563146|4700-4706, rue de Brébeuf|45.530421800000000000|Quadruplex||
|Le Plateau-Mont-Royal|1| 1985|334000|-73.581404700000010000|3|1||562646|205-4411, rue Saint-Denis|45.523453900000000000|Condo|1|
|Mercier / Hochelaga / Maisonneuve|| 2015|184700|-73.533167199999980000|4|1|74.32|565293|2665, avenue Letourneux, condo A1- niveau terrasse|45.550690900000000000|Condo||
|Ville-Marie (Centre-Ville et Vieux Mtl)|2| 1910|399000|-73.559667699999980000|6|1|101.64|564056|2083, rue Dorion|45.527700499999990000|Condo||
|Ville-Marie (Centre-Ville et Vieux Mtl)|1| 2010|274900|-73.557188500000000000||1|38.37|554510|5-555, boulevard René-Lévesque Est|45.514384300000000000|Condo|1|
|Le Sud-Ouest|| 2012|253000|-73.586178000000020000|4|1|62.80|552217|409-3810, rue Saint-Antoine Ouest|45.481154800000000000|Condo||
|Outremont|2||429000|-73.609199699999980000|4|2|98.38|548170|1080, avenue Lajoie|45.522483200000000000|Condo||
|Lasalle|7||549000|-73.610886499999990000||4||562952|735, rue Raymond|45.423034400000010000|Duplex||
|Villeray / St-Michel / Parc-Extension|2| 2014|194900|-73.612410299999960000||1|78.97|565287|8201, 9e avenue|45.563497200000000000|Condo||
|Le Plateau-Mont-Royal|||950000|-73.563090562820380000||4||513447|2125-2127, rue Sherbrooke Est|45.531312770922750000|Quadruplex||
|Mercier / Hochelaga / Maisonneuve|| 2015|214900|-73.533167199999980000|4|1|77.11|565295|2665, avenue Letourneux, condo A5 - 2e étage|45.550690900000000000|Condo||
|Mercier / Hochelaga / Maisonneuve|| 2015|202800|-73.533167199999980000|4|1|77.11|565294|2665, avenue Letourneux, condo A3 - niveau rez-de-chaussée|45.550690900000000000|Condo||
|Montréal-Nord|3||519000|-73.613088699999990000||2||564848|11522, avenue Auger|45.612147200000000000|Duplex||
|Dorval / L'Île Dorval|2| 2013|231590|-73.728589000000000000||1||565476|4-227, boulevard Bouchard|45.446156599999990000|Condo|1|
|Griffintown|||715000|-73.559800900000030000||1|133.22|565479|rue Ottawa - Modèle 02|45.493531200000000000|Condo||
|Le Plateau-Mont-Royal|2| 1998|279000|-73.591991899999980000||1|82.22|415731|2-5192, avenue Henri-Julien|45.526521900000000000|Condo||
|Kirkland|| 1999|489000|-73.851342700000030000|8|2| 169.50|559274|314, place Terry Fox|45.446723600000000000|Maison 2 étages||
|Lachine|2| 2007|259900|-73.692818900000020000|4|1||542526|6-781, 32e avenue|45.441025400000000000|Condo|1|
|Mercier / Hochelaga / Maisonneuve|2| 2006|229000|-73.543673700000000000|5|1|75.99|502241|1903, rue de Chambly|45.545435100000000000|Condo||
|Mont-Royal|2| 1944|355000|-73.641994500000000000|5|1|85.01|354943|5-1270, chemin Regent|45.517318300000000000|Condo||
|Rivière des Prairies|| 1972|233000|-73.594678600000010000|8|1|114.27|563764|12186, avenue Copernic|45.634982000000000000|Maison en rangée / de ville||
|Rosemont / La Petite Patrie|7||789000|-73.573199100000010000||4||563640|5663, avenue Charlemagne|45.559040600000000000|Quadruplex||
|Le Sud-Ouest|1| 2011|273900|-73.586040400000000000|3|1|57.79|563940|664-855, rue Irène|45.481142600000000000|Condo||
|Côte-des-Neiges / Notre-Dame-de-Grâce|4| 1936|700000|-73.621930900000000000|7|3||565430|4974, avenue Grosvenor|45.488183500000000000|Condo|1|
|Montréal-Nord|12||675000|-73.618715200000000000||7||553985|12321, boulevard Langelier|45.621126500000000000|6 unités ou plus||
|Rivière des Prairies|| 2010|695000|-73.551634400000010000|11|3|246.19|553900|12579, rue la Hontan|45.669673400000000000|Maison 2 étages||
|Mercier / Hochelaga / Maisonneuve|| 1900|529000|-73.539147200000000000|7|1|167.23|553926|4129, rue la Fontaine|45.550162500000000000|Maison en rangée / de ville||
|L'Ile Des Soeurs|2| 2004|719000|-73.547275000000010000|5|2||564402|601-210, chemin du Golf|45.469211000000000000|Condo|2|
|Outremont|3| 1913|499000|-73.609033000000010000|7|1|127.56|561042|633, avenue Bloomfield|45.520898200000000000|Condo||
|Villeray / St-Michel / Parc-Extension|3| 1927|439000|-73.618376255035340000|8|2|139.73|565640|7499, rue Chateaubriand|45.542290310805065000|Condo||
|Le Sud-Ouest|2| 1984|389000|-73.573258300000020000|6|1|90.95|552945|2335, rue Notre-Dame Ouest|45.484119500000000000|Condo|1|
|Le Plateau-Mont-Royal|1| 2006|284000|-73.585400400000030000|3|1|58.53|564253|2-4354, rue Saint-Urbain|45.517918300000000000|Condo||
|Côte-des-Neiges / Notre-Dame-de-Grâce|3| 1940|549000|-73.622881000000000000|8|1|157.94|559619|4999, avenue Victoria|45.487766699999990000|Condo|1|
|Saint-Laurent|3| 1990|309000|-73.702908100000000000|6|2||563210|404-11115, boulevard Cavendish|45.500687400000000000|Condo|1|
|Griffintown|1| 2012|284500|-73.559355100000000000||1|48.12|565800|218-300, rue Ann|45.495414800000000000|Condo|1|
|Le Plateau-Mont-Royal|| 1860|745000|-73.585085999999990000|11|3|180.79|546177|4440, rue Berri|45.526333900000000000|Maison en rangée / de ville||
|Ahuntsic / Cartierville|2| 1969|257000|-73.653095000000010000|4|1|116.22|563155|420-125, rue Chabanel Ouest|45.541495000000000000|Condo||
|Villeray / St-Michel / Parc-Extension|5||425000|-73.604378000000000000||3||559147|7377, 1re avenue|45.556496700000000000|Duplex||
|Le Sud-Ouest|| 2004|295000|-73.582327365875240000|4|1|74.32|323057|221-4300, rue Saint-Ambroise|45.473734673049165000|Condo||
|Rosemont / La Petite Patrie|| 2001|659000|-73.565553299999980000|5|2|151.06|396140|3108, rue Rina Lasnier|45.544915499999990000|Maison en rangée / de ville||
|Mercier / Hochelaga / Maisonneuve|| 2012|495000|-73.541229146557550000||2|146.79|565338|9320, rue Robitaille|45.613666082790680000|Jumelé||
|Mercier / Hochelaga / Maisonneuve|2| 2010|208000|-73.531448099999980000|4|1| 77.00|567263|9449, rue de Grosbois|45.610623300000000000|Condo||
|Rosemont / La Petite Patrie|3| 2000|395000|-73.564003299999970000|7|1|109.16|566896|6-4808, rue De Chambly|45.552382000000000000|Condo|1|
|Ville-Marie (Centre-Ville et Vieux Mtl)|1| 2010|254900|-73.548968199999990000|4|1| 51.20|566497|207-1210, rue St-Antoine est|45.518389200000010000|Condo|1|
|Lachine|| 2005|439000|-73.683152599999970000|7|1| 101|557032|432, 21e avenue|45.435734500000000000|Condo||
|Ville-Marie (Centre-Ville et Vieux Mtl)|2| 2006|239000|-73.550109847082520000||1|79.06|563425|2730, rue Ontario Est|45.529264467505570000|Condo||
|Rosemont / La Petite Patrie|2| 1984|374000|-73.551666000000010000|5|1|125.88|565750|4684, rue Dickson|45.574285499999990000|Condo|1|
|Rosemont / La Petite Patrie|| 1927|729000|-73.593255099999960000|11|3|153.29|565480|2513, avenue Elsdale|45.550060700000000000|Maison en rangée / de ville||
|Saint-Laurent|| 2007|635000|-73.715290100000000000|10|2|217.86|553604|2944, avenue Ernest Hemingway|45.508393000000000000|Maison en rangée / de ville||
|Côte-des-Neiges / Notre-Dame-de-Grâce|1| 2013|269900|-73.648645699999970000|4|1|68.10|565603|208-7317, avenue Victoria|45.499419200000000000|Condo|1|
|Lasalle|3| 1994|369000|-73.607535800000000000|6|2|115.66|561051|1027, rue Melatti|45.432705899999990000|Condo|1|
|Pointe-Aux-Trembles / Montréal-Est|2| 2008|167500|-73.488883600000010000|6|1||566333|201-16173, rue Eugénie-Tessier|45.695879500000000000|Condo||
|Mercier / Hochelaga / Maisonneuve|2| 2010|234000|-73.535883260852070000|4|1|94.30|486724|5540, rue de Contrecoeur|45.613494161890394000|Condo||
|Ahuntsic / Cartierville|2| 2011|224900|-73.711820650787330000|4|1||538510|301-11900, rue Dulongpré|45.525756316066760000|Condo|1|
|Le Sud-Ouest|2||524000|-73.562692099999990000||2||558407|Le Nordelec - Penthouse E5|45.485610300000000000|Penthouse||
|Mercier / Hochelaga / Maisonneuve|02| 2009|250000|-73.534854099999960000|06|01|84.54|562431|310-7415, rue Cléophée-Têtu|45.591046800000000000|Condo|01|
|Rosemont / La Petite Patrie|4| 1951|459000|-73.563410400000010000|11|1| 151.38|459805|5267, boulevard Rosemont|45.572640799999990000|Condo||
|L'Ile Des Soeurs|3| 2001|595000|-73.546610100000010000|6|2|140.93|562623|703-201, chemin du Golf|45.467148400000000000|Condo|2|
|Le Plateau-Mont-Royal|2| 2003|449000|-73.594661600000000000|6|1|120.50|562546|537, rue Hélène Baillargeon|45.530336800000000000|Condo|1|
|Rosemont / La Petite Patrie|2||225000|-73.582174099999970000||1||561901|Le 29 - 6756, 29e avenue, unité 102|45.568216100000000000|Condo||
|Rosemont / La Petite Patrie|1||165000|-73.582174099999970000||1||561899|Le 29 - 6756, 29e avenue, unité 101|45.568366316287374000|Condo||
|Westmount|2| 2015|405000|-73.592093999999970000||2||561172|175, avenue Metcalfe|45.481708400000000000|Condo||
|Verdun|2| 1951|268000|-73.581822300000000000|6|1|78.41|560981|1205, rue Allard|45.447101600000000000|Condo||
|Saint-Laurent|1| 2010|218000|-73.696663500000000000|5|1|55.46|520858|105-2177, boulevard Thimens|45.510348800000000000|Condo|1|
|Anjou|| 1956|397000|-73.547545000000010000|7|2|101.45|485896|7615, avenue du Mail|45.596996999999990000|Maison à paliers multiples||
|Rosemont / La Petite Patrie|2| 2008|485000|-73.564717299999980000|4|1||565471|7-4255, rue André-Laurendeau|45.543731200000000000|Condo|1|
|Pierrefonds / Roxboro|2| 2008|222000|-73.853422099999990000|4|1||565399|14380, rue Jolicoeur, condo 301|45.487831100000000000|Condo||
|Côte-des-Neiges / Notre-Dame-de-Grâce|1| 2009|272500|-73.629331400000010000|3|1|68.47|558971|4040, avenue Benny|45.466010000000000000|Condo|1|
|Mercier / Hochelaga / Maisonneuve|| 1997|479900|-73.542120700000000000|7|1|130.06|567120|5564, rue Louis Dumouchel|45.600888700000000000|Jumelé||
|Mercier / Hochelaga / Maisonneuve|2| 2003|249900|-73.513030299999970000|4|1|91.97|563934|515, rue Paul Pau|45.604615600000000000|Condo||
|Côte-des-Neiges / Notre-Dame-de-Grâce|10||986000|-73.611576799999970000||4||565029|2028, avenue Wilson|45.468081300000000000|Quadruplex||
|Rosemont / La Petite Patrie|4||534000|-73.591276399999970000||2||566433|5947, rue Chabot|45.542239500000010000|Duplex||
|Le Sud-Ouest|1| 2010|225000|-73.583058452184330000|3|1|65.03|492702|1-130, rue Saint-Philippe|45.474454139651110000|Condo||
|L'île-Bizard / Sainte-Geneviève|| 1980|499500|-73.883734099999970000|8|2|111.48|560332|3, terrasse Bourdon|45.478971600000000000|Bungalow Surélevé||
|Ville-Marie (Centre-Ville et Vieux Mtl)|| 1910|359000|-73.554379700000020000|5|1|83.98|562522|2288, rue Wurtele|45.537907300000010000|Bungalow||
|Le Sud-Ouest|2||900000|-73.562692099999990000||2||558394|Le Nordelec - Loft F2|45.485610300000000000|Loft||
|Rosemont / La Petite Patrie|1| 2011|320000|-73.595394500000000000|4|1|68.75|515883|307-5661, avenue de Chateaubriand|45.531952700000000000|Condo|1|
|Villeray / St-Michel / Parc-Extension|| 1951|445000|-73.611317999999980000|9|1|85.84|112650|7780, rue des Écores|45.555909799999990000|Bungalow||
|Mercier / Hochelaga / Maisonneuve|3| 1953|474000|-73.531802200000020000|10|2|86.59|563963|8160, rue de Teck|45.597948600000000000|Bungalow||
|Pointe-Aux-Trembles / Montréal-Est|| 1977|315000|-73.495648000000020000|9|2|80.27|563814|1134, 31e avenue|45.655568100000000000|Bungalow||
|Saint-Léonard|| 1963|430000|-73.601335699999990000|7|2|99.03|565570|5415, rue de Bernières|45.589008100000000000|Bungalow||
|Rivière des Prairies|| 2009|597000|-73.550118199999980000|11|3|230.77|567686|10335, rue Thomas-Paine|45.657933600000000000|Maison 2 étages||
|Villeray / St-Michel / Parc-Extension|2||549000|-73.627658699999980000||2||562895|7958-7960, rue Drolet|45.541295000000000000|Duplex||
|Mercier / Hochelaga / Maisonneuve|| 2012|224900|-73.516060900000010000|6|1|88.35|566919|103-2538, avenue Fletcher|45.609025900000000000|Condo||
|Rosemont / La Petite Patrie|2||340000|-73.602036199999990000|6|1|111.48|566125|6524, avenue Christophe-Colomb|45.537965799999990000|Condo||
|Rosemont / La Petite Patrie|2| 1988|275000|-73.562916200000020000|5|1|84.36|565458|3542, avenue du Mont-Royal Est|45.550834700000000000|Condo||
|Côte-des-Neiges / Notre-Dame-de-Grâce|3| 2013|448400|-73.648645699999970000||2||555498|601-7317, avenue Victoria|45.499419200000000000|Condo||
|Mercier / Hochelaga / Maisonneuve|| 1966|435000|-73.526977199999970000|12|2| 128.00|527868|2640, rue de Bruxelles|45.593097600000000000|Bungalow||
|Côte-des-Neiges / Notre-Dame-de-Grâce|2| 2012|355500|-73.646648599999990000|6|2|90.02|561184|109-4239, rue Jean-Talon Ouest|45.500416000000000000|Condo|1|
|Ville-Marie (Centre-Ville et Vieux Mtl)|1| 1987|284000|-73.575321600000000000|4|1|80.36|557778|326-1050, rue Amesbury|45.492668800000000000|Condo|1|
|Lachine|2| 2005|232000|-73.667629400000010000|5|1|86.00|565810|2-410, rue Sherbrooke|45.445158500000000000|Condo|1|
|Ahuntsic / Cartierville|| 1951|595000|-73.672938400000020000|9|1|149.57|564968|10720, avenue de l'Esplanade|45.547642200000000000|Maison 2 étages||
|Mercier / Hochelaga / Maisonneuve|2| 2004|249900|-73.536614600000010000|4|1|102.19|562711|106-2502, rue Bossuet|45.572712400000000000|Condo||
|Le Sud-Ouest|2| 2011|209800|-73.593071641802960000|5|1| 71|565384|2-5251, rue Philippe-Lalonde|45.467231111073710000|Condo||
|Mercier / Hochelaga / Maisonneuve|| 1946|435000|-73.550517000000010000|9|1|121.89|556612|4264, avenue Pierre-de-Coubertin|45.555358500000000000|Maison en rangée / de ville||
|Ahuntsic / Cartierville|5| 1956|629000|-73.660192100000020000|12|2| 167.20|562183|10425, rue Chambord|45.560352500000000000|Jumelé||
|Le Plateau-Mont-Royal|2| 2012|429000|-73.570176599999970000|5|1|99.03|567555|3766, rue St-Christophe|45.521139600000000000|Condo||
|Griffintown|||818000|-73.559896295482760000||1|153.01|525397|rue Ottawa - Modèle 01|45.493522909138680000|Condo||
|Griffintown|2||403000|-73.556481599807740000||1||562029|District Griffin Sur l'Eau, Phase 1 - Unité 1802|45.491773013026360000|Condo||
|Ville-Marie (Centre-Ville et Vieux Mtl)|2| 1900|439000|-73.565707100000000000|7|2| 100.50|564464|938, rue Sherbrooke Est|45.520376100000000000|Condo||
|Le Plateau-Mont-Royal|1||308000|-73.596624099999990000||1|74.32|532335|5383, boulevard St-Laurent - Projet Le Milieu, Mile-End, unité 401|45.525016900000000000|Condo||
|Côte-des-Neiges / Notre-Dame-de-Grâce|5| 1946|719000|-73.624905899999990000|9|3|167.23|471317|5830, chemin Hudson|45.505063300000000000|Condo|1|
|Ville-Marie (Centre-Ville et Vieux Mtl)|6||449000|-73.552055300000000000||3||559495|1829-1833, rue Dufresne|45.530576300000000000|Triplex||
|Beaconsfield / Baie-D'Urfé|3| 2014|350000|-73.856288194656370000||1|133.78|556849|197, Beaurepaire|45.431452093497630000|Maison en rangée / de ville||
|Mercier / Hochelaga / Maisonneuve|2| 2014|349900|-73.536851299999970000||1|137.03|468415|9447, rue Rousseau - Faubourg Contrecoeur|45.611993300000000000|Maison en rangée / de ville||
|Dorval / L'Île Dorval|2| 2010|349000|-73.739430500000030000|4|2|83.61|530614|505-795, chemin Bord du Lac|45.439113500000000000|Condo|1|
|Saint-Laurent|| 2007|729000|-73.715512999999990000|9|2|238.02|556882|2917, rue de l'Écu|45.510152500000000000|Maison en rangée / de ville||
|Anjou|3| 1981|339900|-73.552267400000000000|8|1|116.96|559453|7455, avenue Guy|45.614814300000000000|Jumelé||
|Le Plateau-Mont-Royal|1||251740|-73.596624100000000000||1|62.80|463687|5383, boulevard St-Laurent - Projet Le Milieu, Mile-End, unité 204|45.525016900000000000|Condo||
|Griffintown|2||42246030|-73.562692099999990000||2||558416|Le Nordelec - Condo D11T|45.485610300000000000|Condo||
|Rosemont / La Petite Patrie|1| 1991|159900|-73.567204000000000000|3|1|44.60|559736|A-5285, avenue Jeanne d'Arc|45.557893000000000000|Condo||
|Le Plateau-Mont-Royal|2| 2013|299999|-73.572951800000000000|4|1|73.21|557284|204-4725, rue Messier|45.538173000000000000|Condo||
|Lasalle|2| 1998|225000|-73.610730800000000000|4|1|77.11|555983|1930a, boulevard Guy-Bouchard|45.445092500000000000|Condo||
|Rosemont / La Petite Patrie|6||742000|-73.592269800000000000||3||560245|6664, 1re avenue|45.551082400000000000|Duplex||
|Montréal-Nord|3| 2015|399500|-73.644482999999980000||1|142.70|557828|10749, avenue du Parc Georges - Beethoven semi-détaché|45.585542700000000000|Maison 2 étages||
|Le Sud-Ouest|3||344500|-73.585253999999960000||2||508981|106-108, rue Delinelle|45.471752200000000000|Duplex||
|Saint-Laurent|2| 2010|329000|-73.717570700000010000|5|1||559537|101-2280, avenue Modigliani|45.510804700000000000|Condo|1|
